Team,Matches,Goals_Scored,Goals_Conceded
Barcelona,104,258,111
Real Madrid,104,225,88
Atl. Madrid,104,185,98
Villarreal,104,187,149
Betis,104,148,130
Celta Vigo,104,143,145
Real Sociedad,104,129,127
Espanyol,104,75,93
Getafe,104,99,123
Ath. Bilbao,104,145,106
Osasuna,104,126,143
Girona,104,160,149
Vallecano,104,98,127
Valencia,104,114,133
Sevilla,104,127,156
Mallorca,104,101,133
Alavés,104,100,132
Getafe,104,99,123
Valencia,104,114,133
Sevilla,104,127,156
