Team,Matches,Goals_Scored,Goals_Conceded
Barcelona,28,77,28
Real Madrid,28,60,24
Atl. Madrid,28,47,25
Villarreal,28,51,33
Betis,28,43,35
Celta Vigo,28,38,31
Real Sociedad,28,43,42
Espanyol,28,35,42
Getafe,28,23,30
Ath. Bilbao,28,30,40
Osasuna,28,33,35
Girona,28,31,43
Vallecano,28,28,34
Valencia,28,30,42
Sevilla,28,37,47
Mallorca,28,33,45
Alavés,28,26,38
Elche,28,36,45
Levante,28,30,46
Oviedo,28,18,44
