Team,Matches,Goals_Scored,Goals_Conceded
Slavia Praha,26,58,20
Sparta Praha,26,54,30
Viktoria Plzeň,26,47,31
Jablonec,26,32,27
Sigma Olomouc,26,28,25
Slovan Liberec,26,38,25
Hradec Králové,26,35,32
Karviná,26,38,44
Zlín,26,32,38
Pardubice,26,31,44
Teplice,26,25,31
Bohemians,26,20,32
Mladá Boleslav,26,36,49
Slovácko,26,22,36
Baník Ostrava,26,24,36
Dukla Praha,26,16,36|
