Team,Matches,Goals_Scored,Goals_Conceded
Arsenal,31,61,22
Manchester City,30,60,28
Manchester Utd,30,54,41
Aston Villa,30,40,37
Liverpool,30,49,40
Chelsea,30,53,35
Brentford,30,46,42
Everton,30,34,35
Newcastle,30,43,43
Bournemouth,30,44,46
Fulham,30,40,43
Brighton,30,39,36
Sunderland,30,30,35
Crystal Palace,30,33,35
Leeds,30,37,48
Tottenham,30,40,47
Nottingham,30,28,43
West Ham,30,36,55
Burnley,30,32,58
Wolves,31,24,54
