Team,Matches,Goals_Scored,Goals_Conceded
Slavia Praha,86,181,49
Sparta Praha,86,180,89
Viktoria Plzeň,86,175,89
Baník Ostrava,86,124,101
Mladá Boleslav,86,127,133
Slovácko,86,92,127
Slovan Liberec,86,129,102
Sigma Olomouc,86,114,108
Hradec Králové,86,100,101
Teplice,86,88,113
Bohemians,86,81,114
Jablonec,86,114,102
Pardubice,86,80,131
Karviná,86,109,136
Zlín,86,98,137
Dukla Praha,86,53,119
